trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae
249	3	1	0.5	gelu	40	32	0.0003154	12.3	12.3	0.703	9907	535	11.86	9.86
250	3	2	0.5	gelu	40	32	0.0006364	8.65	11.5	0.571	9810	548	13.86	10.75
251	2	1	0.5	gelu	40	32	0.000507	9.88	12.2	0.742	7939	855	10.07	9.245
252	2	1	0.5	gelu	40	32	0.0003066	14.2	5.7	0.933	8877	412	7.883	8.914
253	2	1	0.5	gelu	40	32	0.0004845	13.7	17.8	0.554	8828	765	8.198	9.528
254	2	1	0.5	gelu	40	32	0.0003882	15.6	10.2	1.24	8987	740	13.46	10.55
255	2	1	0.5	gelu	40	32	0.000498	12.5	15.2	0.723	7247	473	8.923	8.967
256	2	1	0.5	gelu	40	32	0.0003103	16.5	8.61	0.789	8432	505	8.057	8.885
257	4	1	0.5	gelu	40	32	0.0003239	15.7	9.56	1.09	9400	423	8.101	9.483
258	2	1	0.5	gelu	40	32	0.0003288	15.8	10.3	1.41	9767	401	7.875	8.921
260	3	1	0.5	gelu	40	32	0.0005189	14.1	10.2	1.3	7941	612	15.17	11.41
259	2	1	0.5	gelu	40	32	0.0003294	18	6.84	1.05	8136	1023	12.25	10.05
261	3	1	0.5	gelu	40	32	0.0003104	19.1	9.61	1.12	8506	401	7.839	9.139
262	4	1	0.5	gelu	40	32	0.0005122	13.5	10.9	1.03	7914	443	7.836	8.978
263	2	1	0.5	gelu	40	32	0.0003799	9.92	11.7	0.995	9938	903	15.48	11.59
264	2	1	0.5	gelu	40	32	0.000376	12.4	15.7	0.7	9576	615	14.48	11.08
266	2	1	0.5	gelu	40	32	0.0003091	12.6	13.3	0.835	8784	919	8.461	8.908
265	4	1	0.5	gelu	40	32	0.0005113	13.7	10.7	0.841	7694	1097	15.69	11.69
267	2	1	0.5	gelu	40	32	0.0003309	16.8	12.6	1.32	9382	495	16.32	12.03
268	3	1	0.5	gelu	40	32	0.0003231	15.1	11.3	1.21	9152	875	15.02	11.34
269	3	1	0.5	gelu	40	32	0.0007512	9.52	11.8	0.638	9808	872	15.3	11.48
271	3	1	0.5	gelu	40	32	0.0006994	8.81	14.5	0.55	9988	451	10.91	9.502
270	4	1	0.5	gelu	40	32	0.000328	17.7	11.9	1.17	9444	1228	15.31	11.51
272	2	2	0.5	gelu	40	32	0.0005493	11.1	12.8	0.589	7327	583	9.304	9.065
273	3	1	0.5	gelu	40	32	0.0003357	18.4	9.38	1.11	8598	1168	15.58	11.63
274	2	1	0.5	gelu	40	32	0.0003276	12.3	11.9	1.04	9212	1011	16.02	11.86
275	2	1	0.5	gelu	40	32	0.0003037	17.5	8.31	1.52	8767	780	7.944	9.298
276	3	1	0.5	gelu	40	32	0.0003834	17.9	10.9	1.15	9318	877	14.43	11.03
277	2	1	0.5	gelu	40	32	0.000475	10.5	12.4	1.06	8985	401	8.509	8.92
278	2	1	0.5	gelu	40	32	0.0003062	19.9	7.79	0.928	8293	401	7.836	9.072
279	4	1	0.5	gelu	40	32	0.0003378	17	7.96	1.33	8920	1164	16.06	11.89
280	2	3	0.5	gelu	40	32	0.0003457	18.4	9.01	1	9352	1086	15.38	11.53
