trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	t2d2	t3d3
2613	25	2	1.0	elu	120	40	0.000683	14.2	1.76	2.45	3546	4000	2.29	2.257	True	1e+06		
2615	27	2	1.0	elu	120	40	0.0009955	9.37	1.97	2.32	2985	3000	2.201	2.127	True	1e+06		
2614	28	2	1.0	elu	120	40	0.0007971	7.32	3.16	4.84	442	4000	2.731	2.474	True	1e+06		
2616	30	2	1.0	elu	120	40	0.0007677	11.6	2.46	4.92	1006	3000	2.944	2.557	True	1e+06		
2620	30	2	1.0	elu	120	40	0.000983	5.95	3.84	4.26	626	1000	3.878	3.321	True	1e+06		
2617	29	2	1.0	elu	120	40	0.0007048	18.5	1.68	2.55	4982	4000	2.459	2.759	True	1e+06		
2618	24	2	1.0	elu	120	80	0.0008605	11	1.71	4.01	3577	3000	2.763	2.845	True	1e+06		
2622	28	2	1.0	relu	120	40	0.0006485	9.37	2.51	4.33	1727	4000	3.463	3.631	True	1e+06		
2619	27	2	1.0	elu	120	40	0.0008471	12	4.72	4.03	2559	4000	2.451	2.479	True	1e+06		
2621	25	2	1.0	elu	120	40	0.0006519	16.1	1.55	1.86	3770	4000	2.361	2.513	True	1e+06		
2626	31	2	1.0	elu	80	40	0.0008729	13.7	1.01	2.48	3779	4000	2.928	2.693	True	1e+06		
2625	30	2	1.0	elu	120	160	0.0008276	16.2	1.66	2.3	3684	4000	2.732	2.318	True	1e+06		
2624	27	2	1.0	elu	120	40	0.0008296	9.03	2.6	4.49	2303	4000	2.422	2.374	True	1e+06		
2623	31	2	1.0	elu	120	40	0.0008589	15.1	3.81	2.89	1843	4000	2.009	1.96	True	1e+06		
2630	24	2	1.0	elu	20	40	0.0007568	10.3	3.31	3.74	896	4000	17.61	8.465	True	1e+06		
2633	24	2	1.0	elu	40	40	0.000879	10.4	1.74	3.85	3308	2000	7.026	4.786	True	1e+06		
2627	25	2	1.0	elu	120	40	0.0006814	14.5	1.59	2.89	1941	4000	2.29	2.116	True	1e+06		
2635	27	2	1.0	elu	20	40	0.0006852	7.51	3.12	4.07	791	500	6.112	5.114	True	1e+06		
2634	29	2	1.0	elu	120	80	0.001037	8.36	2.45	2.1	3511	1500	3.887	3.396	True	1e+06		
2629	31	2	1.0	relu	120	40	0.0008855	14.8	2.1	1.7	1859	4000	2.507	2.459	True	1e+06		
2628	26	2	1.0	elu	120	40	0.0007504	10.2	4.63	4.84	1926	4000	2.271	2.299	True	1e+06		
2632	25	2	1.0	elu	120	40	0.0009383	15	2.02	1.92	3995	4000	2.273	2.493	True	1e+06		
2638	30	2	1.0	elu	40	40	0.0008834	6.69	4.26	4.88	872	4000	4.643	4.282	True	1e+06		
2631	32	2	1.0	elu	120	40	0.0008315	17.1	1.16	2.52	4136	3000	2.57	2.458	True	1e+06		
2641	30	2	2.0	elu	120	40	0.0008283	12	3.57	4.38	1145	500	4.712	3.699	True	1e+06		
2636	25	2	1.0	elu	120	40	0.0009579	18.6	1.7	2.31	3559	1500	4.32	3.629	True	1e+06		
2637	26	2	2.0	elu	120	160	0.0007021	11.7	3.76	4.07	2100	4000	2.412	2.312	True	1e+06		
